district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std,source_year,planning_room_id,planning_room_name,prediction_area_id,prediction_area_name
33005.0,Blankenburg/Heinersdorf/Märchenland,2008,1848,1525,37,71,65,1354,25,606,21,674.38,624.0,212.59,597.63,583.0,179.6,575.72,571.0,121.42,683.52,622.0,177.07,812.69,686.61,461.24,841.11,738.5,269.26,2020,,,,
34006.0,Schönholz/Wilhelmsruh/Rosenthal,1922,1776,1457,31,54,69,1262,19,332,16,723.95,694.0,198.99,592.43,616.5,128.79,645.68,629.0,168.04,791.0,761.0,184.32,890.98,799.6,393.15,886.42,788.0,336.41,2020,,,,
34007.0,Pankow Zentrum,4131,3575,2951,53,104,130,2635,30,1233,26,658.87,617.0,224.39,525.21,521.0,96.62,556.58,543.0,116.35,718.6,650.0,184.25,720.55,682.58,144.77,811.45,723.0,367.52,2020,,,,
34008.0,Pankow Süd,3580,3319,2749,56,131,99,2445,49,1161,39,643.75,610.0,191.05,543.78,544.0,133.32,647.83,595.0,234.05,765.11,720.0,182.33,780.38,764.95,158.11,922.06,906.0,386.68,2020,,,,
35009.0,Weißensee,3812,3177,2643,59,102,186,2362,38,1375,31,602.43,568.0,196.01,471.55,467.0,86.91,547.69,531.0,173.03,622.91,604.0,160.72,791.28,730.5,183.56,717.55,677.0,248.01,2020,,,,
35010.0,Weißensee Ost,2211,1843,1538,31,53,44,1379,26,790,22,610.03,572.0,193.31,485.42,468.0,83.02,582.87,557.0,144.67,589.11,569.0,146.11,742.34,716.94,147.65,691.25,583.0,262.04,2020,,,,
36011.0,Prenzlauer Berg Nordwest,2568,2308,1943,41,113,109,1726,33,848,27,629.83,603.0,194.31,510.28,530.0,104.4,630.92,610.0,176.13,735.9,659.0,244.7,794.31,718.02,223.07,922.96,737.0,430.8,2020,,,,
36012.0,Prenzlauer Berg Nord,2549,2309,1955,32,101,108,1754,38,965,30,613.83,584.0,186.97,554.28,534.0,103.48,601.61,592.5,102.97,724.19,668.0,204.54,822.56,772.25,202.24,918.27,794.0,387.84,2020,,,,
36013.0,Helmholtzplatz,1341,1177,966,18,76,66,862,26,500,23,588.11,562.0,163.42,528.15,546.0,107.88,539.69,522.5,91.28,634.45,569.0,184.47,732.19,740.46,107.24,930.37,968.0,370.55,2020,,,,
36014.0,Prenzlauer Berg Ost,4122,3813,3241,67,145,137,2907,54,1546,49,614.91,590.0,172.72,526.79,518.0,122.98,614.77,611.5,119.65,734.41,694.0,162.98,758.62,738.94,113.71,905.04,895.5,310.03,2020,,,,
37015.0,Prenzlauer Berg Südwest,1873,1668,1378,10,89,86,1218,36,794,35,565.37,537.0,181.06,389.25,385.0,86.3,531.1,520.0,94.01,606.04,581.0,147.95,696.03,693.62,86.9,1025.32,1138.5,448.5,2020,,,,
37016.0,Prenzlauer Berg Süd,2255,2058,1683,40,78,83,1523,36,922,35,598.23,569.0,173.52,535.38,536.5,95.6,593.45,585.0,111.62,771.1,702.0,213.01,693.0,666.04,98.69,891.31,794.0,344.18,2020,,,,
41001.0,Charlottenburg Nord,2930,2681,2171,43,95,113,1967,30,1116,21,608.85,571.0,203.59,493.21,450.0,113.49,609.58,596.5,164.13,846.35,823.0,191.55,840.74,816.06,119.01,735.17,652.5,342.32,2020,,,,
42002.0,Heerstraße,1826,1527,1297,32,64,72,1176,22,314,15,721.8,686.0,208.85,622.69,582.0,186.48,791.03,718.5,226.87,874.7,789.5,223.51,863.28,814.46,170.74,1004.97,983.5,290.46,2020,,,,
42003.0,Westend,4243,3462,2884,74,157,192,2614,64,1541,57,596.84,567.0,187.46,508.82,497.5,120.85,610.1,580.0,154.47,726.12,705.0,166.43,799.57,782.68,141.92,817.53,739.5,300.38,2020,,,,
43004.0,Schloss Charlottenburg,5039,4383,3679,65,153,225,3346,56,2372,49,540.0,500.0,194.07,411.51,394.0,90.48,552.82,514.0,168.96,699.05,682.5,222.88,735.92,715.64,155.15,740.69,671.5,325.39,2020,,,,
